,0,1,0,1,0,1,0,1
0,echo,0.045523532080807304,echo,0.10194473274209176,echo,0.03388974795611405,quality,0.02888915845399442
1,amazon,0.015979215614656088,home,0.011096322737988183,quality,0.024696148488926255,amazon,0.018679179729624545
2,home,0.012818181262413145,room,0.008289734093738598,amazon,0.0219565396118265,house,0.008334605310967795
3,room,0.010205874258566274,control,0.007254708919545152,listen,0.009322595777393895,connect,0.007747292469948176
4,house,0.00980723017173429,listen,0.0067681656369731995,home,0.007606410423633307,family,0.007616162724626885
5,quality,0.006596760195360089,amazon,0.0066445809267806025,news,0.006746738794293281,room,0.007545286784338065
6,connect,0.00642674058105535,list,0.006552543561094815,update,0.006539008671727165,learning,0.006947408815336396
7,listening,0.005746637715974446,expected,0.005220957274997805,request,0.006185757857463334,skill,0.006484144501167902
8,google,0.005700277731786747,recommend,0.005204149708691692,thought,0.005850320360354742,app,0.00646684660179242
9,tv,0.005468787294238552,kitchen,0.004991814812622307,google,0.005678823160456264,volume,0.006214582838042764
10,purchase,0.0053021580248631415,live,0.0048367250324638554,command,0.005438021181066767,update,0.005889677132844138
11,volume,0.005153938977843714,quality,0.004694030985462557,app,0.005076636053381623,google,0.0056164466346463795
12,radio,0.004914587173734705,house,0.004448750160718055,prime,0.004983398166245323,bluetooth,0.0055022011194430925
13,different,0.0048486914111194575,volume,0.004334194355652908,purchase,0.004829112654385571,size,0.005249549279827479
14,command,0.004791884028385201,morning,0.004327416386774219,item,0.004646433327351468,list,0.004859003010513832
15,information,0.004708868795854633,setup,0.004227643117312503,help,0.004428512331274047,living,0.00463067379663071
16,family,0.004632212212055052,understand,0.00418727373914049,system,0.004246695085612647,kitchen,0.004611502609942463
17,learn,0.0046090058234883775,purchase,0.004129679613251826,room,0.0038108897314587283,command,0.0045516947458144885
18,understand,0.004403194558977397,app,0.00412511280055883,learning,0.003773479426945109,learn,0.004549044815071514
19,order,0.00423132230468495,small,0.0040264108154042366,purchased,0.00375335640963514,smaller,0.004211302340256415
20,problem,0.004111276887490379,learning,0.003939150741430726,return,0.0037389333763214482,news,0.004174358057220882
21,loud,0.00401913498624497,friend,0.003802487571702257,overall,0.0037168686353517117,small,0.004159814556865955
22,try,0.003864026589231832,start,0.003766011452548873,volume,0.0036340327389491446,questions,0.0040975918831387455
23,listen,0.00380986298455269,help,0.00369370227830575,impressed,0.0035819570551869507,help,0.004002873169482977
24,issue,0.0036446534577886354,system,0.0036911539713833986,audio,0.00334694003202221,recommend,0.003959417987865307
25,recommend,0.003626297663186361,kid,0.003473611296160682,issue,0.0032966053705627617,radio,0.003940886434835888
26,app,0.0035832655399994926,family,0.003287046138208626,alarm,0.003271506075027151,tv,0.003853553267923773
27,alarm,0.003495193411602057,asking,0.003249204507614345,shopping,0.0031590821071154247,information,0.0037486613515056956
28,favorite,0.0034723935166328162,enjoying,0.0031361193017278416,game,0.0030214883823632068,account,0.0035989091991733635
29,control,0.0034043659334565485,size,0.0031162938106937318,bad,0.0029899125126715267,husband,0.0035281623315623154
